offer_id,source,categories,title,expected_count,extracted_count,matched_count,missing_count,extra_count,recall_pct,precision_pct,expected,extracted,missing,extra
22,adzuna,it,Asystent ds. Zapewnienia Jakości (m/k),1,1,1,0,0,100.0,100.0,work_activity:office_work,work_activity:office_work,,
23,adzuna,sales,Sprzedawca/Sprzedawczyni - niepełny wymiar etatu- 31.50PLN /godz,2,2,2,0,0,100.0,100.0,trait:responsibility;work_activity:sales,trait:responsibility;work_activity:sales,,
24,adzuna,sales,SPRZEDAWCA / SPRZEDAWCZYNI JYSK Rzeszów Rejtana 3/4 ETATU (4100 PLN),1,1,1,0,0,100.0,100.0,work_activity:sales,work_activity:sales,,
25,adzuna,,"Rituals Advisor (m/f/x) - Galeria Rzeszów, Rzeszów (niepełny wymiar godzin, praca weekendowa)",1,1,1,0,0,100.0,100.0,work_activity:sales,work_activity:sales,,
26,adzuna,,Business-system Analyst (f/m/x),0,0,0,0,0,0.0,0.0,,,,
27,adzuna,,Programista / Programistka Dynamics 365 Business Central (f/m/x),2,2,2,0,0,100.0,100.0,technology:mssql;technology:sql,technology:mssql;technology:sql,,
28,adzuna,,DevSecOps Engineer with Kubernetes (f/m/x),4,4,4,0,0,100.0,100.0,technology:go;technology:kubernetes;technology:linux;technology:rust,technology:go;technology:kubernetes;technology:linux;technology:rust,,
29,adzuna,,Fullstack Developer with Java and JavaScript (f/m/x),12,12,12,0,0,100.0,100.0,technology:aws;technology:azure;technology:gcp;technology:git;technology:html_css;technology:java;technology:javascript;technology:kafka;technology:kubernetes;technology:redis;technology:sql;technology:typescript,technology:aws;technology:azure;technology:gcp;technology:git;technology:html_css;technology:java;technology:javascript;technology:kafka;technology:kubernetes;technology:redis;technology:sql;technology:typescript,,
30,adzuna,,Business Analyst – Automotive Industry (f/m/x),2,2,2,0,0,100.0,100.0,technology:jira;technology:sql,technology:jira;technology:sql,,
31,adzuna,,Kotlin Developer – banking industry (f/m/x),7,7,7,0,0,100.0,100.0,technology:gcp;technology:git;technology:java;technology:kafka;technology:kotlin;technology:microservices;technology:postgresql,technology:gcp;technology:git;technology:java;technology:kafka;technology:kotlin;technology:microservices;technology:postgresql,,
32,adzuna,marketing,"Specjalista ds. Marketingu, AI i Automatyzacji (Analityk / Growth)",1,1,1,0,0,100.0,100.0,technology:ai_ml,technology:ai_ml,,
33,adzuna,,Power BI Developer with KQL (f/m/x),1,1,1,0,0,100.0,100.0,technology:sql,technology:sql,,
34,adzuna,it,Data Engineer z GCP (f/m/x),5,5,5,0,0,100.0,100.0,technology:airflow;technology:gcp;technology:python;technology:sql;technology:terraform,technology:airflow;technology:gcp;technology:python;technology:sql;technology:terraform,,
35,adzuna,,ServiceNow IRM/BCM Architect (f/m/x),0,0,0,0,0,0.0,0.0,,,,
36,adzuna,,Senior Fullstack Engineer – branża music tech (f/m/x),5,5,5,0,0,100.0,100.0,technology:aws;technology:github;technology:kafka;technology:nextjs;technology:typescript,technology:aws;technology:github;technology:kafka;technology:nextjs;technology:typescript,,
37,adzuna,,Svelte UI Developer (f/m/x),1,1,1,0,0,100.0,100.0,technology:javascript,technology:javascript,,
38,adzuna,,Fullstack Developer z Java i Angular (f/m/x),2,2,2,0,0,100.0,100.0,technology:angular;technology:java,technology:angular;technology:java,,
39,adzuna,customer_service,Konsultant Dynamics 365 Business Central (f/m/x),0,0,0,0,0,0.0,0.0,,,,
40,adzuna,,ServiceNow Analyst (f/m/x),1,1,1,0,0,100.0,100.0,technology:javascript,technology:javascript,,
41,adzuna,,Pracownik ogólnobudowlany / Pracowniczka ogólnobudowlana,0,0,0,0,0,0.0,0.0,,,,
42,adzuna,,PRACOWNIK / PRACOWNICZKA MYJNI SAMOCHODOWEJ,3,3,3,0,0,100.0,100.0,certification:driving_license_b;trait:responsibility;work_activity:driving,certification:driving_license_b;trait:responsibility;work_activity:driving,,
43,adzuna,,Pracownik/Pracowniczka Restauracji KFC Real,0,0,0,0,0,0.0,0.0,,,,
44,adzuna,construction,Pracownik budowlany,0,0,0,0,0,0.0,0.0,,,,
45,adzuna,,Pracownik ogólnobudowlany,0,0,0,0,0,0.0,0.0,,,,
46,adzuna,,Pracownik montażu,0,0,0,0,0,0.0,0.0,,,,
47,adzuna,,Pracownik montażu,0,0,0,0,0,0.0,0.0,,,,
48,adzuna,office,PRACOWNIK BIUROWY,0,0,0,0,0,0.0,0.0,,,,
49,adzuna,,PRACOWNIK OCHRONY,0,0,0,0,0,0.0,0.0,,,,
50,adzuna,,Pracownik / Pracowniczka Restauracji KFC Nowy Świat,0,0,0,0,0,0.0,0.0,,,,
51,adzuna,,Pracownik / Pracowniczka Restauracji KFC Millenium Hall,0,0,0,0,0,0.0,0.0,,,,
52,adzuna,,Pracownik / Pracowniczka Restauracji KFC City Center,0,0,0,0,0,0.0,0.0,,,,
53,adzuna,,Pracownik remontowo-budowalny / Pracowniczka remontowo-budowlana,0,0,0,0,0,0.0,0.0,,,,
54,adzuna,,Konserwator/ka Obiektu - Pracownik Techniczny / Pracowniczka Techniczna,1,1,1,0,0,100.0,100.0,certification:sep,certification:sep,,
55,adzuna,,Pracownik/Pracowniczka Restauracji Pizza Hut Rzeszów Millenium,0,0,0,0,0,0.0,0.0,,,,
56,adzuna,construction,Cieśla / Pracownik Budowlany,1,1,1,0,0,100.0,100.0,trait:availability,trait:availability,,
57,adzuna,office,Pracownik biurowy zdalny,1,1,1,0,0,100.0,100.0,work_activity:office_work,work_activity:office_work,,
58,adzuna,finance,Koordynator/ Koordynatorka pracowników - Rzeszów,0,0,0,0,0,0.0,0.0,,,,
59,adzuna,,Koordynator/ Koordynatorka pracowników - Rzeszów,2,2,2,0,0,100.0,100.0,technology:sql;work_activity:office_work,technology:sql;work_activity:office_work,,
60,adzuna,,Pracownik gospodarczy K/M,0,0,0,0,0,0.0,0.0,,,,
61,adzuna,,Pracownik Serwisu (m/k),3,3,3,0,0,100.0,100.0,trait:availability;trait:communication;work_activity:customer_service,trait:availability;trait:communication;work_activity:customer_service,,
62,adzuna,,PRACOWNIK SPRZĄTAJĄCY (K/M),0,0,0,0,0,0.0,0.0,,,,
63,adzuna,office,PRACOWNIK BIUROWY (M/K),0,0,0,0,0,0.0,0.0,,,,
64,adzuna,office,PRACOWNIK BIUROWY (K/M),0,0,0,0,0,0.0,0.0,,,,
65,adzuna,,PRACOWNIK GOSPODARCZY (K/M),0,0,0,0,0,0.0,0.0,,,,
66,adzuna,office,PRACOWNIK BIUROWY (M/K),0,0,0,0,0,0.0,0.0,,,,
67,adzuna,logistics,"PRACOWNIK MAGAZYNU (M, K)",0,0,0,0,0,0.0,0.0,,,,
68,adzuna,sales,Pracownik sklepu / Pracownica sklepu,2,2,2,0,0,100.0,100.0,trait:availability;trait:communication,trait:availability;trait:communication,,
69,adzuna,,PRACOWNIK UTRZYMANIA CZYSTOŚCI (SPRZĄTACZKA),0,0,0,0,0,0.0,0.0,,,,
70,adzuna,,"KWALIFIKOWANY PRACOWNIK OCHRONY (M, K )",2,2,2,0,0,100.0,100.0,certification:driving_license_b;work_activity:driving,certification:driving_license_b;work_activity:driving,,
71,adzuna,,Pracownik stoiska mięsnego m/k,0,0,0,0,0,0.0,0.0,,,,
72,adzuna,construction,Pracownik budowlany_Cieśla szalunkowy_Wrocław,0,0,0,0,0,0.0,0.0,,,,
73,adzuna,,Pracownik Działu Handlowego (k/m),1,1,1,0,0,100.0,100.0,work_activity:office_work,work_activity:office_work,,
74,adzuna,,"DRUKARZ - PRACOWNIK PRODUKCJI ( M, K)",0,0,0,0,0,0.0,0.0,,,,
75,adzuna,sales,PRACOWNIK SKLEPU KOMPUTEROWEGO (K/M),0,0,0,0,0,0.0,0.0,,,,
76,adzuna,,PRACOWNIK BIURA RACHUNKOWEGO K/M,0,0,0,0,0,0.0,0.0,,,,
77,adzuna,,Kwalifikowany pracownik / Kwalifikowana pracownica ochrony z bronią,0,0,0,0,0,0.0,0.0,,,,
78,adzuna,construction,FRAC Rzeszów - pracownik/pracownica działu inwestycji,2,2,2,0,0,100.0,100.0,certification:driving_license_b;work_activity:driving,certification:driving_license_b;work_activity:driving,,
79,adzuna,,FRAC Rzeszów - pracownik/pracownica stoiska mięsnego,0,0,0,0,0,0.0,0.0,,,,
80,adzuna,sales,SPRZEDAWCA/SPRZEDAWCZYNI,0,0,0,0,0,0.0,0.0,,,,
81,adzuna,sales,Kasjer – Sprzedawca / Kasjerka – Sprzedawczyni,2,2,2,0,0,100.0,100.0,technology:ai_ml;work_activity:sales,technology:ai_ml;work_activity:sales,,
82,adzuna,sales,SPRZEDAWCA/SPRZEDAWCZYNI - STOISKO MIĘSNE,0,0,0,0,0,0.0,0.0,,,,
83,adzuna,sales,Sprzedawca / Sprzedawczyni umowa o pracę – Smyk Rzeszów Graffica,0,0,0,0,0,0.0,0.0,,,,
84,adzuna,sales,"Kasjer-Sprzedawca Rzeszów (K,M)",0,0,0,0,0,0.0,0.0,,,,
85,adzuna,sales,SPRZEDAWCA STOISKO MIĘSNE (K/M),0,0,0,0,0,0.0,0.0,,,,
86,adzuna,sales,Sprzedawca Boardriders Rzeszów Millenium k/m,0,0,0,0,0,0.0,0.0,,,,
87,adzuna,sales,Dedykowany sprzedawca marki PHILIPS TV & Sound (k/m),0,0,0,0,0,0.0,0.0,,,,
88,adzuna,sales,HEBE| BEZ CV| Konsultant| Sprzedawca K/M| Rzeszów| Galeria,0,0,0,0,0,0.0,0.0,,,,
89,adzuna,,Partnership Specialist,0,0,0,0,0,0.0,0.0,,,,
90,adzuna,,Przedstawiciel Ubezpieczeniowy - Twój start w ubezpieczeniach! (k/m),0,0,0,0,0,0.0,0.0,,,,
91,adzuna,sales,Przedstawiciel Handlowy / Przedstawicielka Handlowa w Branży Energetycznej,0,0,0,0,0,0.0,0.0,,,,
92,adzuna,,Doradczyni / doradca klienta – instytucje publiczne,2,2,2,0,0,100.0,100.0,trait:responsibility;work_activity:sales,trait:responsibility;work_activity:sales,,
93,adzuna,,Dyrektor / Dyrektorka Agencji,2,2,2,0,0,100.0,100.0,work_activity:office_work;work_activity:sales,work_activity:office_work;work_activity:sales,,
94,adzuna,,Doradczyni / doradca klienta – instytucje publiczne,0,0,0,0,0,0.0,0.0,,,,
95,adzuna,,Menedżerka / Menedżer Sprzedaży Sieci Wyłącznej,0,0,0,0,0,0.0,0.0,,,,
96,adzuna,,Zastępca Kierownika Sklepu (K/M/N),2,2,2,0,0,100.0,100.0,trait:responsibility;work_activity:sales,trait:responsibility;work_activity:sales,,
97,adzuna,,Agent Ubezpieczeniowy (sieć wyłączona) - Twój rozwój w ubezpieczeniach! (k/m),1,1,1,0,0,100.0,100.0,work_activity:sales,work_activity:sales,,
98,adzuna,,Doradca Handlowy w Dziale Sprzedaży Samochodów Dostawczych K/M,1,1,1,0,0,100.0,100.0,work_activity:sales,work_activity:sales,,
99,adzuna,,Doradca Ubezpieczeniowy (k/m),1,1,1,0,0,100.0,100.0,work_activity:sales,work_activity:sales,,
100,adzuna,sales,Przedstawiciel handlowy / Przedstawicielka handlowa,1,1,1,0,0,100.0,100.0,work_activity:sales,work_activity:sales,,
101,adzuna,,Regionalny/a Menedżer/ka Sprzedaży Ubezpieczeń Grupowych na Życie,1,1,1,0,0,100.0,100.0,work_activity:sales,work_activity:sales,,
102,adzuna,,Doradca Handlowy w Dziale Sprzedaży Samochodów,1,1,1,0,0,100.0,100.0,work_activity:sales,work_activity:sales,,
103,adzuna,,Dyrektor / Dyrektorka Agencji,1,1,1,0,0,100.0,100.0,work_activity:sales,work_activity:sales,,
104,adzuna,,New Business Manager,1,1,1,0,0,100.0,100.0,work_activity:sales,work_activity:sales,,
105,adzuna,it,Data Engineer,0,0,0,0,0,0.0,0.0,,,,
106,adzuna,,Doradca Handlowy w Dziale Sprzedaży Samochodów Dostawczych (K/M),0,0,0,0,0,0.0,0.0,,,,
107,adzuna,sales,Doradca / Doradczyni Klienta - Przedstawiciel Handlowy / Przedstawicielka Handlowa,0,0,0,0,0,0.0,0.0,,,,
108,adzuna,marketing,Product Marketing Specialist SaaS,0,0,0,0,0,0.0,0.0,,,,
109,adzuna,logistics,Akcja Operacja - Program Talentowy w Biedronce,0,0,0,0,0,0.0,0.0,,,,
110,adzuna,,Doradca techniczno-handlowy,0,0,0,0,0,0.0,0.0,,,,
111,adzuna,sales,Kasjer/Kasjerka – Sklep Budowlany,0,0,0,0,0,0.0,0.0,,,,
112,adzuna,sales,Kasjer/kasjerka w markecie budowlanym,0,0,0,0,0,0.0,0.0,,,,
113,adzuna,,Doradczyni / Doradca Klienta,0,0,0,0,0,0.0,0.0,,,,
114,adzuna,,Doradca klienta ds. OZE,1,1,1,0,0,100.0,100.0,work_activity:sales,work_activity:sales,,
115,adzuna,,Doradca klienta ds. OZE,1,1,1,0,0,100.0,100.0,work_activity:sales,work_activity:sales,,
116,adzuna,sales,Doradca Klienta / Handlowiec,1,1,1,0,0,100.0,100.0,work_activity:sales,work_activity:sales,,
117,adzuna,,Doradczyni / Doradca Klienta Prime,0,0,0,0,0,0.0,0.0,,,,
118,adzuna,,Doradca Klienta / Doradczyni Klienta,0,0,0,0,0,0.0,0.0,,,,
119,adzuna,,Doradca Klienta m/k,0,0,0,0,0,0.0,0.0,,,,
120,adzuna,sales,Przedstawiciel handlowy - handlowiec - doradca klienta,0,0,0,0,0,0.0,0.0,,,,
121,adzuna,,Doradca Klienta Korporacyjnego Large K/M,0,0,0,0,0,0.0,0.0,,,,
122,adzuna,,Doradca Klienta Korporacyjnego (Large) (K/M),0,0,0,0,0,0.0,0.0,,,,
123,adzuna,,Telefoniczny Doradca Klienta k/m - super benefity!,0,0,0,0,0,0.0,0.0,,,,
124,adzuna,,Doradca Klienta Galeria Rzeszów Rzeszów k/m,0,0,0,0,0,0.0,0.0,,,,
125,adzuna,marketing,New Business Manager / Doradca Klienta Active Sales,1,1,1,0,0,100.0,100.0,work_activity:sales,work_activity:sales,,
126,adzuna,,Doradca / Doradczyni klienta,5,5,5,0,0,100.0,100.0,certification:driving_license_b;trait:communication;work_activity:customer_service;work_activity:driving;work_activity:sales,certification:driving_license_b;trait:communication;work_activity:customer_service;work_activity:driving;work_activity:sales,,
127,adzuna,,Doradca / Doradczyni Klienta,1,1,1,0,0,100.0,100.0,work_activity:sales,work_activity:sales,,
128,adzuna,,Doradca / Doradczyni Klienta,1,1,1,0,0,100.0,100.0,trait:communication,trait:communication,,
129,adzuna,,Doradca / Doradczyni klienta,0,0,0,0,0,0.0,0.0,,,,
130,adzuna,,Doradca / Doradczyni klienta,0,0,0,0,0,0.0,0.0,,,,
131,adzuna,,Doradca / Doradczyni Klienta,0,0,0,0,0,0.0,0.0,,,,
132,adzuna,,Doradca / Doradczyni klienta,0,0,0,0,0,0.0,0.0,,,,
133,adzuna,,Doradca/ Doradczyni Klienta,0,0,0,0,0,0.0,0.0,,,,
134,adzuna,sales,Handlowiec - Doradca Klienta OZE – Program Czyste Powietrze (k/m),1,1,1,0,0,100.0,100.0,work_activity:sales,work_activity:sales,,
135,adzuna,,Doradca Klienta WITTCHEN [m k] CH Millenium Hall Rzeszów,0,0,0,0,0,0.0,0.0,,,,
136,adzuna,,Doradca / Doradczyni Klienta | Swoszowice,0,0,0,0,0,0.0,0.0,,,,
137,adzuna,,Doradca/Doradczyni Klienta | Rzeszów,0,0,0,0,0,0.0,0.0,,,,
138,adzuna,,Doradca/Doradczyni Klienta - Podkarpacie,0,0,0,0,0,0.0,0.0,,,,
139,adzuna,,Doradca/Doradczyni Klienta | Rzeszów,0,0,0,0,0,0.0,0.0,,,,
140,adzuna,,Doradca/Doradczyni Klienta Indywidualnego i Biznesowego,0,0,0,0,0,0.0,0.0,,,,
141,adzuna,,Doradca / Doradczyni klienta - Rzeszów Witosa,0,0,0,0,0,0.0,0.0,,,,
142,adzuna,,Doradca ds. Klienta Korporacyjnego MID K/M,0,0,0,0,0,0.0,0.0,,,,
143,adzuna,sales,Doradca/czyni Klienta Biznesowego (Przedstawiciel handlowy),2,2,2,0,0,100.0,100.0,technology:ai_ml;work_activity:sales,technology:ai_ml;work_activity:sales,,
144,adzuna,,Doradca ds. Klienta Korporacyjnego (MID) (K/M),1,1,1,0,0,100.0,100.0,work_activity:sales,work_activity:sales,,
145,adzuna,,Doradca/Doradczyni Klienta_iSpot Galeria Rzeszów,0,0,0,0,0,0.0,0.0,,,,
146,adzuna,,Doradca / Doradczyni Klienta Biznesowego w Orange Polska,1,1,1,0,0,100.0,100.0,work_activity:sales,work_activity:sales,,
147,adzuna,,Doradca / Opiekun Klienta w Biurze Sprzedaży (k/m),1,1,1,0,0,100.0,100.0,work_activity:sales,work_activity:sales,,
148,adzuna,,Doradca Kliena - Praca Zdalna,0,0,0,0,0,0.0,0.0,,,,
149,adzuna,,Doradca serwisowy / Doradczyni serwisowa klienta w ASO,1,1,1,0,0,100.0,100.0,work_activity:sales,work_activity:sales,,
150,adzuna,logistics,Magazynier,1,1,1,0,0,100.0,100.0,work_activity:office_work,work_activity:office_work,,
151,adzuna,logistics,Magazynier / Magazynierka - magazyn sklepowy,0,0,0,0,0,0.0,0.0,,,,
152,adzuna,logistics,MAGAZYNIER (K/M),0,0,0,0,0,0.0,0.0,,,,
153,adzuna,logistics,Magazynier (K/M/X),2,2,2,0,0,100.0,100.0,technology:ai_ml;work_activity:office_work,technology:ai_ml;work_activity:office_work,,
154,adzuna,logistics,FRAC Rzeszów-magazynier m/k,0,0,0,0,0,0.0,0.0,,,,
155,adzuna,logistics,Magazynier / Operator wózka widłowego m/k/x*,0,0,0,0,0,0.0,0.0,,,,
156,adzuna,customer_service,Konsultant ds. wdrożeń systemów ERP (Produkcja/Logistyka),0,0,0,0,0,0.0,0.0,,,,
157,adzuna,,Starszy specjalista/starsza specjalistka w Wydziale Logistyki,0,0,0,0,0,0.0,0.0,,,,
158,adzuna,,Kierownik budowy – branża drogowa,0,0,0,0,0,0.0,0.0,,,,
159,adzuna,,Kierownik budowy – branża drogowa,0,0,0,0,0,0.0,0.0,,,,
160,adzuna,,Dyrektor/ka Operacyjny/a,3,3,3,0,0,100.0,100.0,technology:ai_ml;trait:responsibility;work_activity:sales,technology:ai_ml;trait:responsibility;work_activity:sales,,
161,adzuna,,Senior Mechanical Design Engineer – Intralogistics,0,0,0,0,0,0.0,0.0,,,,
162,adzuna,,Kontroler Finansowy (K/M/I),0,0,0,0,0,0.0,0.0,,,,
163,adzuna,logistics,Koordynator Działu Dystrybucji Krajowej (m/k),0,0,0,0,0,0.0,0.0,,,,
164,adzuna,,Project Manager (k/m),0,0,0,0,0,0.0,0.0,,,,
165,adzuna,,Team Manager (Motorsport),0,0,0,0,0,0.0,0.0,,,,
166,adzuna,customer_service,Konsultant ds. wdrożeń systemów ERP (Księgowość/Handel),0,0,0,0,0,0.0,0.0,,,,
167,adzuna,,Kierownik Oddziału Serwisowego (K/M),0,0,0,0,0,0.0,0.0,,,,
168,adzuna,,Export Manager (k/m/x),1,1,1,0,0,100.0,100.0,work_activity:sales,work_activity:sales,,
169,adzuna,transport,Kierowca / Kierowczyni Kat. C (dystrybucja spożywcza),1,1,1,0,0,100.0,100.0,work_activity:driving,work_activity:driving,,
170,adzuna,,Starszy programista systemów produkcyjnych (m/k),1,0,0,1,0,0.0,0.0,technology:php,,technology:php,
171,adzuna,,Specjalista/ka ds. Sprzedaży telefonicznej - Indoor Sales,1,1,1,0,0,100.0,100.0,work_activity:sales,work_activity:sales,,
172,adzuna,,Lider/-ka projektów zakupowych k/m/n,1,1,1,0,0,100.0,100.0,technology:ai_ml,technology:ai_ml,,
173,adzuna,transport,Kierowca CE – Transport Międzynarodowy / Krajowy (m/k),1,1,1,0,0,100.0,100.0,work_activity:driving,work_activity:driving,,
174,adzuna,logistics,Specjalista Spedytor m/k,0,0,0,0,0,0.0,0.0,,,,
175,adzuna,logistics,Spedytor(ka) międzynarodowy FTL,1,1,1,0,0,100.0,100.0,work_activity:customer_service,work_activity:customer_service,,
176,adzuna,,Programista Magento,0,0,0,0,0,0.0,0.0,,,,
177,adzuna,sales,Przedstawiciel Handlowy – branża optyczna / B2B,0,0,0,0,0,0.0,0.0,,,,
178,adzuna,marketing,Account Executive,0,0,0,0,0,0.0,0.0,,,,
179,adzuna,,Samodzielny Księgowy / Samodzielna Księgowa,1,1,1,0,0,100.0,100.0,trait:independence,trait:independence,,
180,adzuna,logistics,Spedytor/ Spedytorka -Team Leader/ Team Leaderka,0,0,0,0,0,0.0,0.0,,,,
181,adzuna,logistics,Spedytor Międzynarodowy / Spedytorka Międzynarodowa (M/K/N),0,0,0,0,0,0.0,0.0,,,,
182,adzuna,,Inżynier budowy – Budownictwo Kubaturowe (k/m),0,0,0,0,0,0.0,0.0,,,,
183,adzuna,,Inżynier Symulacji Procesów Produkcyjnych (K/M),0,0,0,0,0,0.0,0.0,,,,
184,adzuna,logistics,Kierowca / Kierowczyni kat. C  E,2,2,2,0,0,100.0,100.0,trait:responsibility;work_activity:driving,trait:responsibility;work_activity:driving,,
185,adzuna,,Kierownik / Kierowniczka robót budowlanych - Inżynier budowy,1,1,1,0,0,100.0,100.0,work_activity:office_work,work_activity:office_work,,
186,adzuna,,Kierownik / Kierowniczka operacyjny,1,1,1,0,0,100.0,100.0,work_activity:office_work,work_activity:office_work,,
187,adzuna,customer_service,Konsultant / Konsultantka Dynamics 365 Business Central (f/m/x),0,0,0,0,0,0.0,0.0,,,,
188,adzuna,,Mlodsza Specjalistka/Mlodszy Specjalista ds. Kontraktw- Staz,0,0,0,0,0,0.0,0.0,,,,
189,adzuna,it,Informatyk / Informatyczka,4,4,4,0,0,100.0,100.0,technology:azure;technology:azure_devops;technology:linux;work_activity:office_work,technology:azure;technology:azure_devops;technology:linux;work_activity:office_work,,
190,adzuna,,Programista Magento,3,3,3,0,0,100.0,100.0,technology:html_css;technology:php;technology:redis,technology:html_css;technology:php;technology:redis,,
191,adzuna,,Programista Frontend React TypeScript,3,3,3,0,0,100.0,100.0,technology:react;technology:typescript;trait:independence,technology:react;technology:typescript;trait:independence,,
192,adzuna,,Programista/ka PLC (praca delegacyjna),2,2,2,0,0,100.0,100.0,trait:responsibility;work_activity:office_work,trait:responsibility;work_activity:office_work,,
193,adzuna,,Programista/ka Robotyki Online,0,0,0,0,0,0.0,0.0,,,,
194,adzuna,,Programista Delphi (k/m/os.),2,2,2,0,0,100.0,100.0,technology:git;technology:sql,technology:git;technology:sql,,
195,adzuna,,Programista Java m k os,1,1,1,0,0,100.0,100.0,technology:java,technology:java,,
196,adzuna,,Programista ABAP - Dział Rozwoju Produktów Własnych,1,1,1,0,0,100.0,100.0,technology:testing,technology:testing,,
197,adzuna,,Starszy programista systemów e-commerce (m/k),1,0,0,1,0,0.0,0.0,technology:php,,technology:php,
198,adzuna,,"Automatyk / Programista PLC w branży intralogistycznej – Beckhoff, Siemens (f/m/x)",0,0,0,0,0,0.0,0.0,,,,
199,adzuna,,Automatyk/Programista PLC w branży intralogistycznej – Beckhoff Siemens f/m/x,0,0,0,0,0,0.0,0.0,,,,
200,adzuna,technical,Automatyk PLC – Linie Produkcyjne FMCG f/m/x,0,0,0,0,0,0.0,0.0,,,,
201,adzuna,it,Tester Automatyzujący m k os,2,2,2,0,0,100.0,100.0,technology:testing;trait:responsibility,technology:testing;trait:responsibility,,
202,adzuna,marketing,Młodszy Specjalista ds. Grafiki i Marketingu,0,0,0,0,0,0.0,0.0,,,,
203,adzuna,,Techniczny Lider Elektroniki - Software (m/k),1,1,1,0,0,100.0,100.0,trait:responsibility,trait:responsibility,,
204,adzuna,,Dynamics CRM Developer f m x,0,0,0,0,0,0.0,0.0,,,,
205,adzuna,,Fullstack Developer z Java i Angular f m x,3,3,3,0,0,100.0,100.0,technology:angular;technology:java;technology:scrum,technology:angular;technology:java;technology:scrum,,
206,adzuna,,PLC Engineer – Food & Beverage Industry (f/m/x),0,0,0,0,0,0.0,0.0,,,,
207,adzuna,technical,Automatyk PLC – Linie Produkcyjne FMCG (f/m/x),0,0,0,0,0,0.0,0.0,,,,
208,adzuna,,Monter ds. SCADA (k/m/n),0,0,0,0,0,0.0,0.0,,,,
209,adzuna,,Java Developer,10,10,10,0,0,100.0,100.0,technology:angular;technology:ansible;technology:docker;technology:git;technology:html_css;technology:java;technology:javascript;technology:kafka;technology:rabbitmq;technology:sql,technology:angular;technology:ansible;technology:docker;technology:git;technology:html_css;technology:java;technology:javascript;technology:kafka;technology:rabbitmq;technology:sql,,
210,adzuna,,Fullstack Developer z Java i Angular (f/m/x),8,7,7,1,0,87.5,100.0,technology:angular;technology:bitbucket;technology:git;technology:html_css;technology:java;technology:oracle_sql;technology:sql;technology:typescript,technology:angular;technology:bitbucket;technology:git;technology:html_css;technology:oracle_sql;technology:sql;technology:typescript,technology:java,
211,adzuna,marketing,Software Project Manager Product Owner E-commerce Prestashop,0,0,0,0,0,0.0,0.0,,,,
212,adzuna,it,AI Automatization Engineer,1,1,1,0,0,100.0,100.0,technology:ai_ml,technology:ai_ml,,
